Update,Timesteps,Policy Loss,Value Loss,Total Loss
131,33792,-0.003901856392621994,0.000519091563182883,-0.015358776785433292
132,34048,-0.0031830946798436345,0.0003219656016881345,-0.0010522472439333797
133,34304,-0.00169866809155792,0.00030877369790687225,-0.004089489579200745
134,34560,-0.003922787541523576,0.00046547623896913136,-0.008442796766757965
135,34816,-0.004299305006861686,0.0006647675269050524,-0.003707349533215165
136,35072,-0.003918001952115446,0.00043268834124319253,-0.015394818037748337
137,35328,-0.0018257727148011326,0.00039351967061520556,-0.006590364035218954
138,35584,-0.007121938653290272,0.0006037062936229632,-0.015393326058983803
139,35840,-0.0041136524174362425,0.0008320288696268107,-0.009016127325594425
140,36096,-0.009049368370324374,0.00097773956367746,-0.018785923719406128
141,36352,-0.007626277243252844,0.0005693815131962765,-0.017290785908699036
142,36608,-0.005702670803293586,0.0005965825868770481,-0.005649631842970848
143,36864,-0.00184814240783453,0.0003125620929495199,-0.004650745075196028
144,37120,-0.002883718302473426,0.00039472215612477155,-0.009504692628979683
145,37376,-0.00590144929010421,0.0003176453257765388,-0.01735389046370983
146,37632,-0.00539615738671273,0.0005931084029725753,-0.005837161559611559
147,37888,-0.0033659062813967467,0.0002978133339638589,-0.012877373024821281
148,38144,-0.004337349277921021,0.00033810408604040276,-0.004940527956932783
149,38400,-0.0036055491887964307,0.0005042684424552135,-0.012149829417467117
150,38656,-0.0050989938201382754,0.0011503001092933117,-0.008962276391685009
151,38912,-0.0040390320587903265,0.0008400914768571966,-0.010907163843512535
152,39168,-0.003501124877948314,0.0007191096075985115,-0.008774274960160255
153,39424,-0.004504048661328852,0.0004971799091435969,0.00272075436078012
154,39680,-0.004297522798879072,0.00032740089227445424,-0.007832656614482403
155,39936,-0.0025630664778873323,0.0004027701597806299,-0.006822289898991585
156,40192,-0.0038888211012817918,0.0005878758871403989,-0.010546309873461723
157,40448,-0.005869705020450056,0.000980356938089244,-0.024324800819158554
158,40704,-0.007015470194164664,0.0005213656346313656,-0.008757852017879486
159,40960,-0.0023259227513335646,0.0005115959225804545,-0.008212756365537643
160,41216,-0.004729569936171174,0.0005443350077257491,-0.017389828339219093
161,41472,-0.004195881204213947,0.0010854295469471253,-0.011045684106647968
162,41728,-0.005901851470116526,0.0009091146290302277,-0.015505633316934109
163,41984,-0.0028329155407845973,0.0005011325425584801,-0.010179185308516026
164,42240,-0.0043077796581201255,0.00037508968598558566,-0.016043510288000107
165,42496,-0.0022135627805255353,0.0005150017459527589,-0.007492783945053816
166,42752,-0.0028332556248642504,0.00036658480566984506,-0.010280342772603035
167,43008,-0.0048477361327968534,0.0010703095103963278,-0.00748787634074688
168,43264,-0.00419632934499532,0.00039589641091879456,-0.007448733784258366
169,43520,-0.0041401574155315755,0.00032337066331820095,-0.002951384522020817
170,43776,-0.004083985206671059,0.0005563678976614028,-0.012830415740609169
171,44032,-0.003778013528790325,0.0005559436576731969,-0.013631093315780163
172,44288,-0.00688550213817507,0.0011083712612162343,-0.013853466138243675
173,44544,-0.003345972846727818,0.0009626670413126704,-0.012474900111556053
